source,target,weight,relation_type,description
刘备,关羽,5,结义/核心同盟,桃园结义兄弟，长期共同建立蜀汉集团。
刘备,张飞,5,结义/核心同盟,桃园结义兄弟，蜀汉早期核心关系。
关羽,张飞,5,结义/同僚,同为刘备结义兄弟，构成蜀汉早期武将核心。
刘备,诸葛亮,5,君臣/战略核心,三顾茅庐请诸葛亮出山，隆中对奠定蜀汉战略。
刘备,赵云,4,君臣/护卫,赵云长期追随刘备，长坂坡救主情节突出。
刘备,庞统,4,君臣/谋士,庞统辅佐刘备入蜀，是刘备集团重要谋士。
刘备,马超,3,君臣/归附,马超归降刘备后成为蜀汉重要将领。
刘备,黄忠,3,君臣/将领,黄忠归属刘备集团并立下战功。
刘备,魏延,3,君臣/将领,魏延受刘备重用，成为蜀汉重要军事人物。
诸葛亮,赵云,4,同僚/军事协作,二人在蜀汉政权中多次协作，赵云执行诸葛亮军事部署。
诸葛亮,庞统,4,同僚/谋士,卧龙凤雏并称，均为刘备集团关键谋士。
诸葛亮,魏延,3,上下级/复杂同僚,魏延为北伐重要将领，与诸葛亮存在任用与战略分歧。
诸葛亮,姜维,5,传承/师徒式关系,姜维被诸葛亮看重，后期延续蜀汉北伐路线。
诸葛亮,马超,3,同僚/军事协作,马超归蜀后成为蜀汉军事力量的一部分。
诸葛亮,黄忠,3,同僚/军事协作,黄忠在蜀汉战役中与诸葛亮战略体系相关。
赵云,关羽,3,同僚/五虎将,同为蜀汉重要武将。
赵云,张飞,3,同僚/五虎将,同为刘备集团核心武将。
马超,黄忠,3,同僚/五虎将,同列蜀汉五虎将，代表蜀汉军事力量。
马超,魏延,2,同僚,均为蜀汉武将，但直接互动相对较少。
黄忠,魏延,3,同僚/战役协作,二人均参与蜀汉军事行动，在入蜀后重要性上升。
赵云,姜维,2,阵营传承,同属蜀汉重要将领，但时代交集较弱。
曹操,曹丕,5,父子/继承,曹丕继承曹操政治遗产并建立魏国。
曹操,司马懿,4,君臣/权力关系,司马懿为曹魏重要谋臣，曹操对其既任用又防范。
曹操,郭嘉,5,君臣/谋士,郭嘉是曹操早期极其重要的谋士。
曹操,荀彧,5,君臣/谋士,荀彧为曹操提供政治与战略支持。
曹操,张辽,4,君臣/将领,张辽归曹后成为曹魏名将。
曹操,夏侯惇,5,宗族/将领,夏侯惇是曹操宗族亲信与重要将领。
曹操,许褚,4,君臣/护卫,许褚长期担任曹操身边护卫型猛将。
曹丕,司马懿,4,君臣/政治同盟,司马懿在曹丕时期继续进入权力核心。
郭嘉,荀彧,4,同僚/谋士集团,二人同为曹操重要谋士，构成曹魏智囊网络。
张辽,夏侯惇,3,同僚/将领,同属曹操麾下重要将领。
张辽,许褚,3,同僚/将领,同为曹魏军事集团成员。
夏侯惇,许褚,3,同僚/亲信,均为曹操身边重要武将。
曹丕,张辽,3,君臣/将领,张辽在曹魏政权延续中仍具重要军事地位。
曹丕,荀彧,2,政治关联,荀彧服务曹操时代，与曹丕继承体系存在间接关联。
司马懿,张辽,2,同阵营,同属曹魏系统，但直接叙事联系不如与曹操强。
孙策,孙权,5,兄弟/继承,孙权继承孙策奠定的江东基业。
孙策,周瑜,5,挚友/创业同盟,孙策与周瑜关系极深，共同奠定江东势力基础。
孙权,周瑜,5,君臣/核心将领,周瑜辅佐孙权，是赤壁之战东吴核心统帅。
孙权,鲁肃,5,君臣/战略谋士,鲁肃主张孙刘联盟，是东吴外交战略核心。
孙权,吕蒙,5,君臣/将领,吕蒙受孙权重用，后期袭取荆州。
孙权,陆逊,5,君臣/统帅,陆逊受孙权重用，在夷陵之战中成为关键统帅。
