name,faction,role,brief
刘备,蜀汉,君主/核心人物,蜀汉集团核心，仁义形象突出，与关羽、张飞结义，并三顾茅庐请诸葛亮出山。
关羽,蜀汉,武将,刘备结义兄弟，五虎将之一，与曹操、孙权、吕蒙等存在重要关系。
张飞,蜀汉,武将,刘备结义兄弟，勇猛形象突出，与关羽、刘备构成蜀汉早期核心。
诸葛亮,蜀汉,谋士/丞相,蜀汉战略核心，辅佐刘备、刘禅，后期与司马懿长期对峙。
赵云,蜀汉,武将,蜀汉重要将领，长坂坡救主，与刘备、诸葛亮关系密切。
马超,蜀汉,武将,西凉名将，后归刘备，与曹操有潼关之战等重要冲突。
黄忠,蜀汉,武将,蜀汉老将，五虎将之一，定军山战功突出。
魏延,蜀汉,武将,蜀汉后期重要将领，参与北伐，与诸葛亮存在复杂关系。
庞统,蜀汉,谋士,号凤雏，辅佐刘备入蜀，与诸葛亮并称卧龙凤雏。
姜维,蜀汉,武将/继承者,后期蜀汉重要将领，被诸葛亮重视，延续北伐路线。
曹操,曹魏,君主/核心人物,曹魏集团奠基者，政治、军事、谋略均居核心位置，与刘备、孙权、袁绍等关系密切。
曹丕,曹魏,君主,曹操之子，魏国建立者，与司马懿、孙权、刘备集团存在政治关系。
司马懿,曹魏,谋士/权臣,曹魏后期核心人物，与诸葛亮长期战略对峙。
郭嘉,曹魏,谋士,曹操重要谋士，对曹操早期战略判断影响较大。
荀彧,曹魏,谋士,曹操重要谋士，负责战略谋划与政治支持。
张辽,曹魏,武将,原为吕布部将，后归曹操，合肥之战威震东吴。
夏侯惇,曹魏,宗族武将,曹操宗族将领，曹魏早期重要军事人物。
许褚,曹魏,武将/护卫,曹操亲卫型猛将，长期保护曹操。
孙权,东吴,君主/核心人物,东吴核心人物，继承孙策基业，与刘备联盟并长期对抗曹魏。
周瑜,东吴,都督/谋将,东吴早期核心将领，赤壁之战主将，与诸葛亮形成精彩互动。
鲁肃,东吴,谋士/外交人物,东吴战略与外交人物，主张孙刘联盟，与诸葛亮、关羽互动较多。
陆逊,东吴,都督/谋将,东吴后期重要将领，夷陵之战击败刘备。
吕蒙,东吴,武将,东吴重要将领，袭取荆州，与关羽关系高度关键。
孙策,东吴,奠基者,江东基业奠基者，孙权之兄，与周瑜关系极深。
黄盖,东吴,武将,东吴老将，赤壁之战中苦肉计与诈降情节突出。
甘宁,东吴,武将,东吴勇将，多次参与对曹魏作战。
吕布,群雄,武将/割据势力,三国前期猛将，与董卓、貂蝉、刘备、曹操等关系复杂。
董卓,群雄,权臣/反派势力,三国前期权臣，控制朝政，与吕布、貂蝉构成连环计核心。
袁绍,群雄,军阀,北方重要军阀，官渡之战中与曹操决战。
貂蝉,群雄,关键女性人物,连环计核心人物，与吕布、董卓关系密切。
